Produkt,Jan.-19,Feb.-19,März-19,Apr.-19,Mai-19,Juni-19,Juli-19,Aug.-19,Sept.-19,Okt.-19,Nov.-19,Dez.-19,Gesamt
Produkt Nr. 55 ,142,160,50,157,94,47,52,608,257,0,107,0,1674
Produkt Nr. 56 ,34,57,38,0,50,0,1,162,72,0,23,18,455
Produkt Nr. 57 ,193,252,30,49,68,0,291,180,127,129,44,16,1380
Produkt Nr. 58,2.330,15.781,390,56,51,1.928,1.084,0,1.589,0,0,0,23210
Produkt Nr. 59,25.609,20.786,16.985,18.042,20.906,10.046,5.008,1.124,4.620,1.691,1.504,623,126944
Produkt Nr. 60,0,0,0,0,0,0,0,0,0,0,0,0,0
Produkt Nr. 61,28.481,5.065,13.450,8.386,21.831,9.927,517,1.297,2.374,5.106,9.504,3871,109809
Produkt Nr. 62,708,0,8.814,8.522,9.132,9.610,30.821,9.818,10.525,27.362,26.799,11602,153714
Produkt Nr. 63,0,0,0,0,0,0,0,0,7.129,0,0,0,7129
Produkt Nr. 64,0,0,0,0,0,0,0,0,11,0,0,0,11
Produkt Nr. 65,0,0,0,0,0,0,0,0,0,0,0,0,0
Produkt Nr. 66,28.026,24.395,24.496,28.483,22.301,29.603,16.255,27.149,15.264,22.099,19.782,12114,269966
Produkt Nr. 67,0,0,0,0,0,0,0,0,7.486,0,0,0,7486
Produkt Nr. 68,0,0,0,0,0,0,0,0,0,0,0,0,0
